persona_id,age_group_name,country,date,state,staying_days,prev_state
0,less_5,Angola,2021-04-01,H,0,H
1,less_5,Angola,2021-04-01,H,0,H
2,less_5,Angola,2021-04-01,H,0,H
3,less_5,Angola,2021-04-01,H,0,H
4,less_5,Angola,2021-04-01,H,0,H
0,5_to_14,Angola,2021-04-01,H,0,H
1,5_to_14,Angola,2021-04-01,H,0,H
2,5_to_14,Angola,2021-04-01,H,0,H
3,5_to_14,Angola,2021-04-01,H,0,H
4,5_to_14,Angola,2021-04-01,H,0,H
5,5_to_14,Angola,2021-04-01,H,0,H
6,5_to_14,Angola,2021-04-01,H,0,H
7,5_to_14,Angola,2021-04-01,I,0,H
8,5_to_14,Angola,2021-04-01,H,0,H
0,15_to_24,Angola,2021-04-01,H,0,H
1,15_to_24,Angola,2021-04-01,H,0,H
2,15_to_24,Angola,2021-04-01,H,0,H
3,15_to_24,Angola,2021-04-01,H,0,H
4,15_to_24,Angola,2021-04-01,H,0,H
5,15_to_24,Angola,2021-04-01,I,0,H
0,25_to_64,Angola,2021-04-01,H,0,H
1,25_to_64,Angola,2021-04-01,I,0,H
2,25_to_64,Angola,2021-04-01,H,0,H
3,25_to_64,Angola,2021-04-01,H,0,H
4,25_to_64,Angola,2021-04-01,I,0,H
5,25_to_64,Angola,2021-04-01,H,0,H
6,25_to_64,Angola,2021-04-01,H,0,H
7,25_to_64,Angola,2021-04-01,I,0,H
8,25_to_64,Angola,2021-04-01,H,0,H
9,25_to_64,Angola,2021-04-01,H,0,H
0,less_5,Angola,2021-04-02,H,0,H
1,less_5,Angola,2021-04-02,H,0,H
2,less_5,Angola,2021-04-02,H,0,H
3,less_5,Angola,2021-04-02,H,0,H
4,less_5,Angola,2021-04-02,H,0,H
0,5_to_14,Angola,2021-04-02,H,0,H
1,5_to_14,Angola,2021-04-02,H,0,H
2,5_to_14,Angola,2021-04-02,H,0,H
3,5_to_14,Angola,2021-04-02,H,0,H
4,5_to_14,Angola,2021-04-02,H,0,H
5,5_to_14,Angola,2021-04-02,H,0,H
6,5_to_14,Angola,2021-04-02,I,0,H
7,5_to_14,Angola,2021-04-02,I,1,I
8,5_to_14,Angola,2021-04-02,H,0,H
0,15_to_24,Angola,2021-04-02,H,0,H
1,15_to_24,Angola,2021-04-02,H,0,H
2,15_to_24,Angola,2021-04-02,I,0,H
3,15_to_24,Angola,2021-04-02,H,0,H
4,15_to_24,Angola,2021-04-02,H,0,H
5,15_to_24,Angola,2021-04-02,I,1,I
0,25_to_64,Angola,2021-04-02,H,0,H
1,25_to_64,Angola,2021-04-02,I,1,I
2,25_to_64,Angola,2021-04-02,I,0,H
3,25_to_64,Angola,2021-04-02,H,0,H
4,25_to_64,Angola,2021-04-02,I,1,I
5,25_to_64,Angola,2021-04-02,H,0,H
6,25_to_64,Angola,2021-04-02,H,0,H
7,25_to_64,Angola,2021-04-02,I,1,I
8,25_to_64,Angola,2021-04-02,I,0,H
9,25_to_64,Angola,2021-04-02,I,0,H
0,less_5,Angola,2021-04-03,H,0,H
1,less_5,Angola,2021-04-03,H,0,H
2,less_5,Angola,2021-04-03,H,0,H
3,less_5,Angola,2021-04-03,H,0,H
4,less_5,Angola,2021-04-03,H,0,H
0,5_to_14,Angola,2021-04-03,H,0,H
1,5_to_14,Angola,2021-04-03,H,0,H
2,5_to_14,Angola,2021-04-03,H,0,H
3,5_to_14,Angola,2021-04-03,H,0,H
4,5_to_14,Angola,2021-04-03,H,0,H
5,5_to_14,Angola,2021-04-03,H,0,H
6,5_to_14,Angola,2021-04-03,I,1,I
7,5_to_14,Angola,2021-04-03,I,2,I
8,5_to_14,Angola,2021-04-03,H,0,H
0,15_to_24,Angola,2021-04-03,H,0,H
1,15_to_24,Angola,2021-04-03,H,0,H
2,15_to_24,Angola,2021-04-03,I,1,I
3,15_to_24,Angola,2021-04-03,H,0,H
4,15_to_24,Angola,2021-04-03,H,0,H
5,15_to_24,Angola,2021-04-03,I,2,I
0,25_to_64,Angola,2021-04-03,I,0,H
1,25_to_64,Angola,2021-04-03,I,2,I
2,25_to_64,Angola,2021-04-03,I,1,I
3,25_to_64,Angola,2021-04-03,H,0,H
4,25_to_64,Angola,2021-04-03,I,2,I
